cohort_type,cohort_month,dimension,first_value,m,metric,measure,cohort_size,ltv_per_user
purchase,2024-11-01,category,otc sh,6,same,gm,1,0.0
purchase,2024-11-01,category,otc sh,7,same,revenue,1,0.0
purchase,2024-11-01,category,otc sh,7,same,gm,1,0.0
purchase,2024-11-01,category,otc sh,8,same,revenue,1,0.0
purchase,2024-11-01,category,otc sh,8,same,gm,1,0.0
purchase,2024-11-01,category,otc sh,9,same,revenue,1,0.0
purchase,2024-11-01,category,otc sh,9,same,gm,1,0.0
purchase,2024-11-01,category,otc sh,10,same,revenue,1,0.0
purchase,2024-11-01,category,otc sh,10,same,gm,1,0.0
purchase,2024-11-01,category,pom hl,0,any,revenue,3,116.89373298666668
purchase,2024-11-01,category,pom hl,0,any,gm,3,30.938910086484
purchase,2024-11-01,category,pom hl,1,any,revenue,3,183.10626706000002
purchase,2024-11-01,category,pom hl,1,any,gm,3,46.460599463532
purchase,2024-11-01,category,pom hl,2,any,revenue,3,84.19618529
purchase,2024-11-01,category,pom hl,2,any,gm,3,13.656621254038
purchase,2024-11-01,category,pom hl,3,any,revenue,3,112.26158038666667
purchase,2024-11-01,category,pom hl,3,any,gm,3,18.208828338717336
purchase,2024-11-01,category,pom hl,4,any,revenue,3,140.32697548333334
purchase,2024-11-01,category,pom hl,4,any,gm,3,22.761035423396667
purchase,2024-11-01,category,pom hl,5,any,revenue,3,168.39237058
purchase,2024-11-01,category,pom hl,5,any,gm,3,27.313242508076
purchase,2024-11-01,category,pom hl,6,any,revenue,3,196.45776567666667
purchase,2024-11-01,category,pom hl,6,any,gm,3,31.865449592755336
purchase,2024-11-01,category,pom hl,7,any,revenue,3,0.0
purchase,2024-11-01,category,pom hl,7,any,gm,3,0.0
purchase,2024-11-01,category,pom hl,8,any,revenue,3,224.52316077333333
purchase,2024-11-01,category,pom hl,8,any,gm,3,45.611880111102664
purchase,2024-11-01,category,pom hl,9,any,revenue,3,252.51229120666667
purchase,2024-11-01,category,pom hl,9,any,gm,3,59.32095619734934
purchase,2024-11-01,category,pom hl,10,any,revenue,3,280.50142164
purchase,2024-11-01,category,pom hl,10,any,gm,3,73.03003228359601
purchase,2024-11-01,category,pom hl,0,same,revenue,3,116.89373298666668
purchase,2024-11-01,category,pom hl,0,same,gm,3,30.938910086484
purchase,2024-11-01,category,pom hl,1,same,revenue,3,126.97547686666667
purchase,2024-11-01,category,pom hl,1,same,gm,3,37.356185294173336
purchase,2024-11-01,category,pom hl,2,same,revenue,3,56.13079019333333
purchase,2024-11-01,category,pom hl,2,same,gm,3,9.104414169358668
purchase,2024-11-01,category,pom hl,3,same,revenue,3,84.19618529
purchase,2024-11-01,category,pom hl,3,same,gm,3,13.656621254038
purchase,2024-11-01,category,pom hl,4,same,revenue,3,112.26158038666667
purchase,2024-11-01,category,pom hl,4,same,gm,3,18.208828338717336
purchase,2024-11-01,category,pom hl,5,same,revenue,3,140.32697548333334
purchase,2024-11-01,category,pom hl,5,same,gm,3,22.761035423396667
purchase,2024-11-01,category,pom hl,6,same,revenue,3,168.39237058
purchase,2024-11-01,category,pom hl,6,same,gm,3,27.313242508076
purchase,2024-11-01,category,pom hl,7,same,revenue,3,0.0
purchase,2024-11-01,category,pom hl,7,same,gm,3,0.0
purchase,2024-11-01,category,pom hl,8,same,revenue,3,196.45776567666667
purchase,2024-11-01,category,pom hl,8,same,gm,3,41.05967302642333
purchase,2024-11-01,category,pom hl,9,same,revenue,3,224.44689611
purchase,2024-11-01,category,pom hl,9,same,gm,3,54.76874911267
purchase,2024-11-01,category,pom hl,10,same,revenue,3,252.43602654333336
purchase,2024-11-01,category,pom hl,10,same,gm,3,68.47782519891668
purchase,2024-11-01,category,pom sh,0,any,revenue,1,130.7901907
purchase,2024-11-01,category,pom sh,0,any,gm,1,34.01852860107
purchase,2024-11-01,category,pom sh,1,any,revenue,1,0.0
purchase,2024-11-01,category,pom sh,1,any,gm,1,0.0
purchase,2024-11-01,category,pom sh,2,any,revenue,1,0.0
purchase,2024-11-01,category,pom sh,2,any,gm,1,0.0
purchase,2024-11-01,category,pom sh,3,any,revenue,1,0.0
purchase,2024-11-01,category,pom sh,3,any,gm,1,0.0
purchase,2024-11-01,category,pom sh,4,any,revenue,1,0.0
purchase,2024-11-01,category,pom sh,4,any,gm,1,0.0
purchase,2024-11-01,category,pom sh,5,any,revenue,1,0.0
purchase,2024-11-01,category,pom sh,5,any,gm,1,0.0
purchase,2024-11-01,category,pom sh,6,any,revenue,1,0.0
purchase,2024-11-01,category,pom sh,6,any,gm,1,0.0
purchase,2024-11-01,category,pom sh,7,any,revenue,1,0.0
purchase,2024-11-01,category,pom sh,7,any,gm,1,0.0
purchase,2024-11-01,category,pom sh,8,any,revenue,1,0.0
purchase,2024-11-01,category,pom sh,8,any,gm,1,0.0
purchase,2024-11-01,category,pom sh,9,any,revenue,1,0.0
purchase,2024-11-01,category,pom sh,9,any,gm,1,0.0
purchase,2024-11-01,category,pom sh,10,any,revenue,1,0.0
purchase,2024-11-01,category,pom sh,10,any,gm,1,0.0
purchase,2024-11-01,category,pom sh,0,same,revenue,1,130.7901907
purchase,2024-11-01,category,pom sh,0,same,gm,1,34.01852860107
purchase,2024-11-01,category,pom sh,1,same,revenue,1,0.0
purchase,2024-11-01,category,pom sh,1,same,gm,1,0.0
purchase,2024-11-01,category,pom sh,2,same,revenue,1,0.0
purchase,2024-11-01,category,pom sh,2,same,gm,1,0.0
purchase,2024-11-01,category,pom sh,3,same,revenue,1,0.0
purchase,2024-11-01,category,pom sh,3,same,gm,1,0.0
purchase,2024-11-01,category,pom sh,4,same,revenue,1,0.0
purchase,2024-11-01,category,pom sh,4,same,gm,1,0.0
purchase,2024-11-01,category,pom sh,5,same,revenue,1,0.0
purchase,2024-11-01,category,pom sh,5,same,gm,1,0.0
purchase,2024-11-01,category,pom sh,6,same,revenue,1,0.0
purchase,2024-11-01,category,pom sh,6,same,gm,1,0.0
purchase,2024-11-01,category,pom sh,7,same,revenue,1,0.0
purchase,2024-11-01,category,pom sh,7,same,gm,1,0.0
purchase,2024-11-01,category,pom sh,8,same,revenue,1,0.0
purchase,2024-11-01,category,pom sh,8,same,gm,1,0.0
purchase,2024-11-01,category,pom sh,9,same,revenue,1,0.0
purchase,2024-11-01,category,pom sh,9,same,gm,1,0.0
purchase,2024-11-01,category,pom sh,10,same,revenue,1,0.0
purchase,2024-11-01,category,pom sh,10,same,gm,1,0.0
purchase,2024-12-01,category,pom hl,0,any,revenue,14,165.3367069142857
purchase,2024-12-01,category,pom hl,0,any,gm,14,45.73063060259873
purchase,2024-12-01,category,pom hl,1,any,revenue,14,203.97041654285712
purchase,2024-12-01,category,pom hl,1,any,gm,14,55.374667196740006
purchase,2024-12-01,category,pom hl,2,any,revenue,14,358.9723628435714
purchase,2024-12-01,category,pom hl,2,any,gm,14,97.84687428638814
purchase,2024-12-01,category,pom hl,3,any,revenue,14,430.26469450785714
purchase,2024-12-01,category,pom hl,3,any,gm,14,115.96967985781937
purchase,2024-12-01,category,pom hl,4,any,revenue,14,524.8540288928572
purchase,2024-12-01,category,pom hl,4,any,gm,14,140.1178464634365
purchase,2024-12-01,category,pom hl,5,any,revenue,14,565.02530175
purchase,2024-12-01,category,pom hl,5,any,gm,14,146.73385268762948
purchase,2024-12-01,category,pom hl,6,any,revenue,14,442.99338269785716
purchase,2024-12-01,category,pom hl,6,any,gm,14,107.64428475734293
purchase,2024-12-01,category,pom hl,7,any,revenue,14,368.89840409571434
purchase,2024-12-01,category,pom hl,7,any,gm,14,98.76018069400298
purchase,2024-12-01,category,pom hl,8,any,revenue,14,602.9867505442857
purchase,2024-12-01,category,pom hl,8,any,gm,14,184.8446749520292
purchase,2024-12-01,category,pom hl,9,any,revenue,14,438.1527980442857
purchase,2024-12-01,category,pom hl,9,any,gm,14,145.36602088548358
purchase,2024-12-01,category,pom hl,0,same,revenue,14,165.3367069142857
purchase,2024-12-01,category,pom hl,0,same,gm,14,45.73063060259873
purchase,2024-12-01,category,pom hl,1,same,revenue,14,203.97041654285712
purchase,2024-12-01,category,pom hl,1,same,gm,14,55.374667196740006
purchase,2024-12-01,category,pom hl,2,same,revenue,14,353.73686264928574
purchase,2024-12-01,category,pom hl,2,same,gm,14,96.308684329307
purchase,2024-12-01,category,pom hl,3,same,revenue,14,375.2822110421429
purchase,2024-12-01,category,pom hl,3,same,gm,14,99.78797199215857
purchase,2024-12-01,category,pom hl,4,same,revenue,14,507.76566766285714
purchase,2024-12-01,category,pom hl,4,same,gm,14,135.06943171062858
purchase,2024-12-01,category,pom hl,5,same,revenue,14,547.93694052
purchase,2024-12-01,category,pom hl,5,same,gm,14,141.68543793482158
purchase,2024-12-01,category,pom hl,6,same,revenue,14,425.9050214678572
purchase,2024-12-01,category,pom hl,6,same,gm,14,102.595870004535
purchase,2024-12-01,category,pom hl,7,same,revenue,14,304.8267808864286
purchase,2024-12-01,category,pom hl,7,same,gm,14,80.13626704125356
purchase,2024-12-01,category,pom hl,8,same,revenue,14,578.3285135357143
purchase,2024-12-01,category,pom hl,8,same,gm,14,175.30505289979487
purchase,2024-12-01,category,pom hl,9,same,revenue,14,430.5829222657143
purchase,2024-12-01,category,pom hl,9,same,gm,14,140.87481358605714
purchase,2024-12-01,category,pom sh,0,any,revenue,5,125.885558582
purchase,2024-12-01,category,pom sh,0,any,gm,5,39.354768392482804
purchase,2024-12-01,category,pom sh,1,any,revenue,5,104.08719346399998
purchase,2024-12-01,category,pom sh,1,any,gm,5,36.170408720424604
purchase,2024-12-01,category,pom sh,2,any,revenue,5,161.307901906
purchase,2024-12-01,category,pom sh,2,any,gm,5,54.84724795589341
purchase,2024-12-01,category,pom sh,3,any,revenue,5,142.23433242000002
purchase,2024-12-01,category,pom sh,3,any,gm,5,48.621634875663005
purchase,2024-12-01,category,pom sh,4,any,revenue,5,256.67574930800004
purchase,2024-12-01,category,pom sh,4,any,gm,5,85.97531334790621
purchase,2024-12-01,category,pom sh,5,any,revenue,5,95.36784741
purchase,2024-12-01,category,pom sh,5,any,gm,5,31.128065394624002
purchase,2024-12-01,category,pom sh,6,any,revenue,5,0.0
purchase,2024-12-01,category,pom sh,6,any,gm,5,0.0
purchase,2024-12-01,category,pom sh,7,any,revenue,5,0.0
purchase,2024-12-01,category,pom sh,7,any,gm,5,0.0
